CACNA1A ,-1.426113,-1.423231,-1.244715,-0.7402937,-0.1815115,0.3187841,0.9060345,1.749059,2.902044,4.31898,5.232393,AD
CACNA1E ,-1.716353,-1.208743,-0.7543017,-0.2488771,0.207944,0.4143088,0.6169881,1.104955,1.392414,1.467218,1.619367,AD
CACNA1G ,-1.303824,-0.8344908,-0.3954442,-0.1056267,-0.1387324,-0.4102899,0.515325,1.802828,1.510358,1.263762,1.152544,other
CACNA1S ,-4.711834,-4.873551,-3.994076,-2.315944,-1.031486,-0.3323693,-0.2020568,0.02463643,0.4265802,0.6987785,0.851067,other
CAMTA1 ,-3.788602,-2.459545,-1.296313,-0.3474191,0.3325016,0.5521544,0.5130913,0.9210164,1.333571,1.745107,2.238994,AD
CAPN3 ,-0.7308627,-0.4681465,-0.3698258,-0.5003709,-0.6097125,-0.5043589,-0.3087394,0.04798906,0.3141919,0.5295857,0.8252411,other
CARD11 ,-4.788388,-4.703443,-2.772351,-1.162969,0.09037783,1.219337,2.451964,3.926151,4.541645,4.624655,4.501954,other
CASK ,-1.385516,-1.222054,-1.046466,-0.8306131,-0.6311433,-0.4734809,0.1361168,0.7119865,0.4722683,0.4318552,0.4483859,other
CASR ,-2.844336,-1.8595,-1.134693,-0.7015435,-0.3269297,0.0867231,0.4558037,0.529141,0.7366354,1.334219,2.187863,other
CBL ,-2.658535,-1.612548,-0.8008624,-0.2647764,0.185981,0.8681086,1.850274,3.391004,4.452511,4.832949,4.828699,AD
CBS ,-3.597769,-2.599396,-1.702029,-0.9928029,-0.5349077,-0.5016308,-0.6320052,-0.253097,0.2013877,0.604111,1.024799,AR
CC2D2A ,-2.981184,-1.825248,-0.8323768,-0.1586296,0.1140617,0.1661112,0.3269934,0.6167833,0.8907097,1.216957,1.677248,AR
CD40LG ,-1.420123,-1.095452,-0.998973,-1.251619,-1.643505,-0.7107776,0.252896,0.5038726,0.8069298,1.424341,2.280608,other
CDAN1 ,-1.050094,-0.5501935,-0.08956876,0.2987708,0.5933437,0.8515172,0.896291,0.6823154,-0.09309149,-1.361616,-2.681182,AR
CDC42BPB ,-1.100701,-0.7323051,-0.5791875,-0.6349972,-0.3075406,-0.01164901,0.282551,0.7050702,1.092686,1.631748,2.35903,AD
CDC45 ,-0.8620882,-0.3853312,-0.1308451,0.001924872,0.06894459,-0.0845231,-0.04022552,0.2629841,0.4253734,0.2845662,0.07256806,other
CDH1 ,-0.9981189,-0.7343479,-0.5521702,-0.3528068,-0.1071875,-0.01562513,-0.03079741,0.2727259,0.6076565,0.8461139,0.9328485,AD
CDH23 ,-1.6933,-1.157455,-0.6127423,-0.1541326,0.158517,0.442349,0.7020587,0.8683521,0.8854164,0.75786,0.5457676,AR
CDK13 ,-5.041279,-4.256817,-2.720186,-1.348046,-0.1192465,0.6713938,0.4330211,0.5792561,0.9978461,1.378928,1.770705,AD
CDKL5 ,-4.928722,-5.122177,-5.039871,-3.865221,-2.509014,-1.713018,-1.21019,-0.6915035,0.1081943,0.8458077,1.342664,other
CDKN2A ,-1.201542,-1.011881,-0.7797069,-0.5300048,-0.3025894,0.01164127,0.422199,0.664374,0.6497571,0.8073836,1.138344,AD
CEP290 ,-0.7291527,-0.4035226,-0.1329735,0.004138951,0.02882851,0.0449795,0.3794792,0.907109,1.434887,2.087852,2.896022,other
CFTR ,-1.328551,-1.294764,-1.442184,-1.451311,-1.049728,-0.6781576,-0.3568993,-0.09450756,0.1654351,0.4536555,0.7004818,other
CHAT ,-0.5714139,-0.6913686,-1.000279,-1.6996,-1.713467,-0.7960807,-0.2645544,0.05976144,0.524585,0.9825586,1.36562,other
CHD2 ,-1.362194,-1.232625,-0.980475,-0.6125269,-0.2595814,0.1370818,0.5173461,1.103242,2.168178,3.466596,4.874219,other
CHD3 ,-1.095458,-1.203993,-0.9522235,-0.1304088,1.051489,2.637508,3.733992,3.917717,4.021071,3.938643,3.576641,AD
CHD4 ,-2.544765,-1.684024,-0.8644914,-0.3333645,0.004896404,0.4803212,1.184008,1.145245,0.9355319,0.9717487,1.234243,AD
CHD5 ,-2.113052,-1.422808,-0.8919306,-0.5507573,-0.4743618,-0.06609352,0.5572829,1.038305,0.9383574,0.7529,0.6116151,other
CHD7 ,-1.477564,-1.21661,-0.8930834,-0.5364799,-0.3142648,-0.01874579,0.3114309,0.563603,1.061961,1.835343,2.710215,other
CHD8 ,-1.315032,-0.9443658,-0.6877394,-0.3453359,0.1440557,0.2848328,0.270473,0.5237302,0.9715263,1.545743,2.222456,AD
CHRNE ,-4.820062,-4.968289,-4.010808,-1.966012,-0.6374918,0.09600767,0.5888493,0.486073,0.3957973,0.5062545,0.6794419,other
CHST3 ,-4.532989,-4.632004,-4.487558,-4.29047,-3.918345,-1.587115,0.8833534,3.379776,4.465684,4.7112,4.630978,AR
CLCN1 ,-3.011105,-2.038016,-1.08757,-0.4962076,-0.2973068,-0.08045021,0.1195874,0.2729205,0.5926326,0.8833567,1.056037,other
CLCN4 ,-2.312618,-1.568207,-1.035589,-0.7959478,-0.8866946,-1.154581,-0.2948101,0.4113903,0.871982,1.479131,2.255438,other
CLCN7 ,-4.749565,-4.839334,-3.679887,-1.972764,-0.8302797,-0.009618728,0.3112947,0.2871823,0.7654671,1.646065,2.65548,other
CLCNKB ,-4.055635,-2.565385,-1.200755,-0.08836407,0.4417509,0.4430221,0.05773256,-0.1201758,0.9741101,2.142991,3.297468,AR
CLDN16 ,-3.393069,-2.106819,-0.9748512,0.01510758,0.9339512,1.9639,3.097148,2.000117,1.164236,0.8044361,0.5773894,AR
CLN3 ,-4.423416,-4.546548,-4.350315,-4.041972,-3.720008,-1.940559,-0.1736088,1.634015,3.53152,4.630463,4.501834,AR
CLN6 ,-1.274614,-0.8668508,-0.365769,0.1161817,0.3081898,0.5503874,1.103887,2.242285,3.877186,4.577841,4.303235,AR
CLN8 ,-1.060308,-0.4596895,0.1253482,0.4172015,0.371677,0.214066,0.1811882,0.6842057,1.601523,2.667415,3.351295,other
CNGA3 ,-4.215685,-2.815937,-1.522419,-0.8099641,-0.5437814,0.03026933,1.122703,1.570263,1.161219,0.9383059,0.820674,other
CNGB1 ,-0.9121357,-0.6314619,-0.5251492,-0.7291849,-1.250239,-0.6236222,0.2107725,0.6045525,0.870514,1.194342,1.488897,other
CNGB3 ,-4.498832,-4.607596,-4.490431,-3.169259,-1.631467,-0.3240656,0.8796221,1.407358,1.200739,1.075283,1.01222,other
COCH ,-4.212609,-4.462654,-3.574895,-1.959744,-0.8588948,-0.1692562,0.1667372,0.09160353,0.2335663,0.6222856,1.111052,other
COL10A1 ,-4.713445,-3.569924,-2.143305,-1.032131,-0.2114088,0.2932476,0.07595263,-0.09372337,0.1803331,0.5571952,0.7672389,AD
COL11A1 ,-4.63895,-4.839568,-4.710357,-3.01466,-1.662007,-0.6168351,0.04391796,0.4796379,0.9863179,1.299609,1.367926,other
COL12A1 ,-0.7551878,-0.6158921,-0.6177322,-0.4873785,0.05751212,0.3016716,0.5011742,0.8107271,1.041116,1.388516,1.88024,other
COL1A2 ,-3.395088,-2.648268,-1.990088,-1.423007,-1.00373,-0.7537325,-0.2515207,0.4575749,1.220492,2.046051,2.942789,other
COL2A1 ,-2.01425,-1.661653,-1.383732,-1.16859,-1.010701,-0.787352,-0.3825257,0.1618345,0.7780539,1.405306,2.062116,other
COL3A1 ,-2.722128,-2.260589,-1.833504,-1.378974,-0.8473001,-0.1565382,0.1314732,0.5044139,1.004242,1.311428,1.543587,other
COL4A1 ,-1.592703,-1.072556,-0.3811404,0.3917206,0.6302287,0.6294226,0.7105552,0.6220823,0.8181793,1.631107,2.565763,other
COL4A2 ,-4.78489,-4.921333,-4.184158,-2.396279,-0.8929367,0.2604681,0.8004744,0.7947662,0.7721629,0.8475382,0.9767521,AD
COL4A3 ,-3.012428,-2.143884,-1.346287,-0.6664512,-0.0976869,0.3501914,0.4428316,0.5577345,0.8365247,0.9807432,1.045403,other
COL4A4 ,-3.043718,-2.051174,-1.099609,-0.3287141,0.1162262,0.5576017,0.8921041,0.9433543,0.8458828,0.8179092,0.86471,other
COL4A5 ,-1.687371,-1.852687,-2.034667,-1.864746,-1.523395,-1.273978,-1.037149,-0.2660655,0.6968702,1.182064,1.391783,other
COL5A1 ,-2.140738,-1.41884,-0.8379021,-0.5416654,-0.5562805,-0.6988069,-0.1206001,0.6167033,0.9649753,1.183944,1.45633,AD
COL5A2 ,-1.015522,-0.6965296,-0.5813738,-0.7550921,-0.9633914,-0.2437533,0.2960217,0.7127148,1.266226,1.907046,2.598116,AD
COL6A1 ,-1.163568,-0.9824801,-0.9377988,-1.143404,-1.688412,-2.487796,-1.246119,0.2058815,0.9902509,1.277273,1.529594,other
